dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call
2023-08-08,96.6,2023-08-08,1034.5166470323798,1034.8127437506967,1033.218451774835,1032.472964795326,1032.5070700467413,1030.6263381356177,1034.5166470323798
2023-08-09,96.8,2023-08-09,1031.6614783517687,1032.1438113418387,1031.5794217944988,1030.6923703763039,1030.0209093458968,1028.5032142882765,1031.6614783517687
2023-08-10,96.7,2023-08-10,1029.8929329896923,1030.7813580939003,1030.5046981456203,1027.9446337740233,1028.6420071286802,1026.1163576396962,1029.8929329896923
2023-08-11,96.93,2023-08-11,1030.774831580189,1031.4740086352765,1031.1628932387016,1029.535379091284,1030.4993968659326,1028.0532555307796,1030.774831580189
2023-08-14,96.67,2023-08-14,1031.82958524146,1032.4611060840919,1032.2184135492491,1030.7196149461251,1030.1608258648273,1028.6661363609269,1031.82958524146
2023-08-15,96.29,2023-08-15,1033.8470423489007,1034.3137931117683,1033.4120773712302,1033.051968875009,1032.3530885463786,1029.7760411490597,1033.8470423489007
2023-08-16,95.67,2023-08-16,1028.5394555112953,1029.3202775157515,1027.9255410116084,1026.877207320207,1025.6345637961651,1024.7050025845135,1028.5394555112953
2023-08-17,95.44,2023-08-17,1024.5127542921957,1025.7629121169057,1023.9461299273889,1023.8454284088476,1022.2589854148658,1019.1172842748406,1024.5127542921957
2023-08-18,95.13,2023-08-18,1024.650827474395,1025.5570015356236,1023.5270829941521,1024.1594367323423,1022.8235129310711,1018.4651447050434,1024.650827474395
2023-08-21,95.02,2023-08-21,1023.7838024251716,1024.7909631034483,1023.2274487510571,1021.9776223257197,1023.2631453890235,1017.7114406309721,1023.7838024251716
2023-08-22,94.65,2023-08-22,1024.6713954879233,1026.027389884382,1025.741534574787,1024.17692089148,1024.349524018988,1020.4762210349267,1024.6713954879233
2023-08-23,94.34,2023-08-23,1016.3182668103489,1018.888980910285,1018.0534752598409,1015.875442854132,1016.7118497963503,1012.6174727284887,1016.3182668103489
2023-08-24,94.91,2023-08-24,1017.1883200814631,1018.6208587986366,1017.2403381564242,1018.7710134901579,1017.8448859932572,1011.8223349064818,1017.1883200814631
2023-08-25,94.42,2023-08-25,1020.0292869498385,1022.2599499541348,1019.1491128085471,1016.4264104139024,1016.3632299922411,1014.4968385163826,1020.0292869498385
2023-08-28,95.33,2023-08-28,1017.9643641317516,1019.7580208368529,1018.9384180596911,1020.5297786604776,1016.9650417447763,1012.6626166888284,1017.9643641317516
2023-08-29,95.55,2023-08-29,1019.9423461842575,1021.7685039951251,1021.4356219796199,1021.0299803826292,1018.8618277179792,1015.8913718808789,1019.9423461842575
2023-08-30,95.74,2023-08-30,1025.7482654163277,1027.3027465336017,1026.279578851898,1024.9196148838098,1024.957693312406,1022.5034016632293,1025.7482654163277
2023-08-31,96.0,2023-08-31,1025.5432693415448,1027.3393871441392,1024.7191315379132,1024.5643211524743,1024.2613407460508,1020.8000546020206,1025.5432693415448
2023-09-01,96.28,2023-09-01,1025.925119500308,1027.5611367774775,1025.6708593761377,1025.2276934939487,1024.827510980512,1021.830525882578,1025.925119500308
2023-09-04,96.46,,,,,,,,
2023-09-05,96.03,2023-09-05,1027.1569090789335,1028.1276599259459,1026.8149961216538,1026.8098218675987,1026.829903413395,1023.2921707738775,1027.1569090789335
2023-09-06,95.83,2023-09-06,1025.562262852771,1026.9382906972594,1025.6690591447862,1024.1035524326699,1024.3890481770916,1022.1305578165335,1025.562262852771
2023-09-07,95.81,2023-09-07,1023.9536265604861,1025.6906092808906,1023.8319434050919,1023.2126565579598,1022.999152334269,1020.7224170076677,1023.9536265604861
2023-09-08,95.8,2023-09-08,1021.7235611023747,1023.5310035548481,1020.4218469701367,1021.3901506477397,1023.2120047613887,1017.5103642466863,1021.7235611023747
2023-09-11,96.29,2023-09-11,1024.1533993356682,1025.3549042368913,1023.365274828392,1023.6621468763876,1023.317086811791,1018.9768228547853,1024.1533993356682
2023-09-12,96.39,2023-09-12,1024.1913096055303,1025.801889478636,1023.1874460289556,1023.0153975516156,1024.2914360234954,1021.3221386767166,1024.1913096055303
2023-09-13,96.73,2023-09-13,1024.720154431844,1025.9763867710235,1025.1349386087852,1025.2258421181002,1024.2349862522615,1023.5216041500258,1024.720154431844
2023-09-14,97.19,2023-09-14,1025.7417423068978,1026.7589144789208,1025.7225245831771,1024.7213459306206,1024.3276210489964,1022.623322516668,1025.7417423068978
2023-09-15,96.82,2023-09-15,1027.1505354251817,1028.2125162771563,1026.5505200348755,1026.340567140939,1026.4111188767022,1023.849806933647,1027.1505354251817
2023-09-18,96.44,2023-09-18,1025.0297961773665,1025.8890371226955,1025.360431235856,1025.3544803180864,1023.5260359020845,1022.004049547682,1025.0297961773665
2023-09-19,96.75,2023-09-19,1026.4539727372517,1028.0096477629033,1025.3900913152604,1025.4360910584815,1025.2868280312405,1023.6051109816256,1026.4539727372517
2023-09-20,96.97,2023-09-20,1025.1850647802642,1026.2683718141236,1024.9108992206222,1025.262958121199,1024.8690124846646,1021.9983054312514,1025.1850647802642
2023-09-21,96.49,2023-09-21,1024.7568079077107,1026.1482504662229,1025.169204604474,1024.2959812555705,1025.558603699914,1021.6930984088092,1024.7568079077107
2023-09-22,95.39,2023-09-22,1021.5775632298818,1023.5408374824908,1021.2306478017409,1022.3747486659983,1023.6064282449636,1018.7619994366861,1021.5775632298818
2023-09-25,95.3,2023-09-25,1019.2019936199782,1021.5352296791988,1019.4669347316426,1018.3517912291726,1019.3704133341109,1014.2180301282172,1019.2019936199782
2023-09-26,95.13,2023-09-26,1019.6293977169312,1021.0828188498148,1019.0488825122073,1019.319532338746,1020.0000312863934,1015.8102105659907,1019.6293977169312
2023-09-27,95.37,2023-09-27,1015.5427222283807,1018.5833574104178,1016.2158938992084,1015.5126512257682,1018.3375268954338,1011.5368993754558,1015.5427222283807
2023-09-28,95.45,2023-09-28,1018.7978092857144,1021.2706885328121,1018.2121177216897,1017.6513440457727,1018.9810278326213,1013.9334399643712,1018.7978092857144
2023-09-29,95.63,2023-09-29,1019.679105257191,1022.0069001715624,1019.1369296675298,1020.4242161663278,1019.4204165899001,1015.3812050447664,1019.679105257191
2023-10-02,95.01,2023-10-02,1021.4736194638681,1023.7021981595568,1020.4545252193741,1021.4553376949699,1020.6901611958891,1017.7182221767513,1021.4736194638681
2023-10-03,93.63,2023-10-03,1014.4579370669538,1016.9746780490374,1013.5885837031141,1013.117263207405,1012.909748424781,1009.4796483431206,1014.4579370669538
2023-10-04,92.24,2023-10-04,1003.0357616813154,1007.3268325431607,1001.0009299640591,1000.7519703630506,1000.5911622449073,994.4063675033598,1003.0357616813154
2023-10-05,92.41,2023-10-05,1005.1025932105093,1008.8293292966941,1003.0769157067602,1004.858579137471,1002.7894042389476,996.5858587930594,1005.1025932105093
2023-10-06,92.31,2023-10-06,1005.9170471402115,1009.6941824143698,1005.6347590596487,1007.0762028470808,1005.4195784813008,998.1428282833649,1005.9170471402115
2023-10-09,92.63,2023-10-09,1006.3968810877069,1010.3134785420103,1032.4620293110827,1004.0924847267218,1005.862112381635,999.1783642365151,1006.3968810877069
2023-10-10,94.97,2023-10-10,1011.1926946891533,1015.3353604653232,1011.6240829141585,1011.5538605552213,1011.0737025764,1004.1924663835402,1011.1926946891533
2023-10-11,94.8,2023-10-11,1015.1790923913536,1018.3695580516518,1014.5699103473626,1011.8494638798729,1013.8648803144099,1011.988513684629,1015.1790923913536
2023-10-12,94.47,2023-10-12,1020.9441990818275,1022.9023837662387,1018.9150775091208,1020.6777775353909,1022.1660443151919,1016.7537374815782,1020.9441990818275
2023-10-13,94.92,2023-10-13,1024.0666058757863,1025.4264246136324,1021.8293417167719,1023.0250755132548,1021.3470987960529,1021.3496160045745,1024.0666058757863
2023-10-16,94.25,2023-10-16,1022.4318734506825,1024.2608011542775,1022.9261670146436,1021.6737915033518,1022.3818164007371,1018.65774815962,1022.4318734506825
2023-10-17,95.49,2023-10-17,1023.3749479788669,1025.5516024019412,1022.2778411024664,1023.2018253556066,1023.0577985524493,1020.2148117197489,1023.3749479788669
2023-10-18,95.75,2023-10-18,1025.495063793243,1026.849070346103,1024.4173848239477,1024.9508376443189,1024.923096836788,1023.2151114082162,1025.495063793243
2023-10-19,95.57,2023-10-19,1025.35356089068,1026.5306622394135,1023.8811876622067,1023.1277989023818,1023.8838779186415,1022.3115766666833,1025.35356089068
2023-10-20,93.96,2023-10-20,1023.6329438270602,1025.3869258785362,1023.2348594057755,1022.4862407155443,1022.4259001920906,1021.5624385773677,1023.6329438270602
