,dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call,derivative_prices_garch
36,2023-09-27,95.37,2023-09-27,991.9862385089468,995.6356755532823,989.1916423464739,990.9641912916069,989.0307018316358,982.2242912485331,991.9862385089468,1009.9920727377937
37,2023-09-28,95.45,2023-09-28,992.5815258642475,997.2783755967982,992.9869748960313,992.2177849395912,992.1576473887717,983.8453414069683,992.5815258642475,1007.2570477072605
38,2023-09-29,95.63,2023-09-29,996.4254203441754,1000.3186630877476,993.7320653921948,996.5960348933172,996.6186715345052,989.0915560567788,996.4254203441754,1015.5588923984958
39,2023-10-02,95.01,2023-10-02,993.8304131345578,998.1063230236339,993.5845266672875,994.2820405645879,990.7023478767688,987.3355863685542,993.8304131345578,1011.7512383136237
40,2023-10-03,93.63,2023-10-03,982.6872147447883,987.8374691343695,983.0523996667674,985.2745855939563,983.5536103329139,975.0061170247394,982.6872147447883,1010.8528254833511
41,2023-10-04,92.24,2023-10-04,969.4880557111167,976.4303397691424,971.5010123170383,969.2887814384567,970.6697393252931,954.9956922477919,969.4880557111167,969.9788242376799
42,2023-10-05,92.41,2023-10-05,972.6585133911908,977.9548241674595,969.2071303604275,972.9202119773811,970.5629076054174,957.1917307797434,972.6585133911908,937.4720661431805
43,2023-10-06,92.31,2023-10-06,973.9744989497495,980.2003731008106,973.8072174465568,972.0478453507211,971.7365958568568,961.8796576127997,973.9744989497495,967.2154215690454
44,2023-10-09,92.63,2023-10-09,974.8487841830577,979.9864531432283,992.8322300612941,973.0196503335877,975.2893772265668,963.0336990819909,974.8487841830577,983.238436409618
45,2023-10-10,94.97,2023-10-10,981.5067822550935,984.9164950628324,980.252867134062,979.2440440667972,981.0361354924441,968.6546842282992,981.5067822550935,999.5699241328664
46,2023-10-11,94.8,2023-10-11,987.3883227335735,993.723294202919,988.9746210443396,988.8745656073604,990.112927016559,982.3008988644341,987.3883227335735,1007.5756792541633
47,2023-10-12,94.47,2023-10-12,989.5252943517335,995.5925979185051,991.2572114295027,989.7582226579183,988.428228348156,980.171843354618,989.5252943517335,979.3067535880114
48,2023-10-13,94.92,2023-10-13,988.7921188839139,995.1385115205275,989.7430835558431,990.7958254925132,990.1300568183876,977.9312643101622,988.7921188839139,995.2321162192171
49,2023-10-16,94.25,2023-10-16,989.2513449829074,992.9667440298223,987.263860803106,985.9188129450544,986.8248835168404,977.5348588642728,989.2513449829074,1003.0451188704851
50,2023-10-17,95.49,2023-10-17,989.5379491660418,995.1748477925773,990.7264967942323,991.3658764138039,988.0845219893508,982.1751848843826,989.5379491660418,1010.7122882587244
51,2023-10-18,95.75,2023-10-18,997.1981707000813,1001.6939987611763,998.0476599446803,998.0284444537724,999.4107707368204,991.8044759198748,997.1981707000813,1015.4625417884242
52,2023-10-19,95.57,2023-10-19,995.1863424662135,1000.2646352934152,995.3404331487222,995.9307759372255,993.8845251836597,985.0011266696092,995.1863424662135,994.8350340086378
